"name","title","company"
"Andrew Waring","Digital Director at Digital Guerrilla","Digital Guerrilla"
"Ben Wallbank","Digital Strategy & Partnership Manager, EMEA at Trimble","Trimble"
"Chris Oldham","Senior Policy & Programme Manager at City of London Corporation","City of London"
"Don Bokor","Digital PMO Lead – Associate Director at Arcadis","Arcadis"
"Dr Thomas Levermore","Senior Systems Engineer at Connected Places Catapult","Connected Places Catapult"
"Fergus Harradence","Deputy Director Infrastructure and Construction at Department for Business and Trade","Department for Business and Trade"
"Fiona Moore","Nima Vice Chair at nima","nima"
"George Bentley","PhD Researcher at University of Bath","University of Bath"
"Noor Alawi","PhD Researcher at Leeds Beckett University","Leeds Beckett University"
"Omar Jose Loh Moreno","Quality, Systems and Technology Director for UK & Ireland at Ferrovial Construction","Ferrovial Construction"
"Sarah Driver","Production Lead – Surveying & Data Editing at Ordnance Survey","Ordnance Survey"
"Zora Rafiq","Principal Customer Success Manager at Egnyte","Egnyte"
